Entity,Code,Year,military_expenditure,Continent
Afghanistan,AFG,2020,261682436,Asia
Albania,ALB,2020,216383147,Europe
Algeria,DZA,2020,9957840537,Africa
Angola,AGO,2020,1300872545,Africa
Argentina,ARG,2020,3142676266,S.America
Armenia,ARM,2020,635254318,Asia
Australia,AUS,2020,27617686554,Oceania
Austria,AUT,2020,3494175818,Europe
Azerbaijan,AZE,2020,2172590799,Asia
Bahrain,BHR,2020,1404787234,Asia
Bangladesh,BGD,2020,4335139654,Asia
Belarus,BLR,2020,785018880,Europe
Belgium,BEL,2020,5330043077,Europe
Belize,BLZ,2020,24311641,N.America
Benin,BEN,2020,68812207,Africa
Bolivia,BOL,2020,597974814,S.America
Bosnia and Herzegovina,BIH,2020,165740110,Europe
Botswana,BWA,2020,571041826,Africa
Brazil,BRA,2020,25101252046,S.America
Brunei,BRN,2020,440055230,Asia
Bulgaria,BGR,2020,1210453851,Europe
Burkina Faso,BFA,2020,368214699,Africa
Burundi,BDI,2020,65169280,Africa
Cambodia,KHM,2020,634735997,Asia
Cameroon,CMR,2020,375736642,Africa
Canada,CAN,2020,22854074305,N.America
Cape Verde,CPV,2020,10969940,Africa
Central African Republic,CAF,2020,39403412,Africa
Chad,TCD,2020,308459280,Africa
Chile,CHL,2020,5036441830,S.America
China,CHN,2020,2.45E+11,Asia
Colombia,COL,2020,10132720082,S.America
Congo,COG,2020,285908111,Africa
Costa Rica,CRI,2020,0,N.America
Cote d'Ivoire,CIV,2020,589217534,Africa
Croatia,HRV,2020,1030843390,Europe
Cyprus,CYP,2020,413921629,Europe
Czechia,CZE,2020,3186836708,Europe
Democratic Republic of Congo,COD,2020,364338889,Africa
Denmark,DNK,2020,4838203273,Europe
Dominican Republic,DOM,2020,627495894,N.America
Ecuador,ECU,2020,2243500000,S.America
Egypt,EGY,2020,4015802872,Africa
El Salvador,SLV,2020,371487092,N.America
Estonia,EST,2020,687161230,Europe
Eswatini,SWZ,2020,82221533,Africa
Ethiopia,ETH,2020,460443218,Africa
Fiji,FJI,2020,75068125,Oceania
Finland,FIN,2020,3985993311,Europe
France,FRA,2020,51572230107,Europe
Gabon,GAB,2020,258872826,Africa
Gambia,GMB,2020,14337766,Africa
Georgia,GEO,2020,304485193,Asia
Germany,DEU,2020,51570203502,Europe
Ghana,GHA,2020,236717003,Africa
Greece,GRC,2020,5236970762,Europe
Guatemala,GTM,2020,336620574,N.America
Guinea,GIN,2020,201191663,Africa
Guinea-Bissau,GNB,2020,22434104,Africa
Guyana,GUY,2020,65523779,S.America
Haiti,HTI,2020,225215,N.America
Honduras,HND,2020,392467588,N.America
Hungary,HUN,2020,2463029604,Europe
Iceland,ISL,2020,0,Europe
India,IND,2020,73000865183,Asia
Indonesia,IDN,2020,9487524780,Asia
Iran,IRN,2020,12150789862,Asia
Iraq,IRQ,2020,6994394036,Asia
Ireland,IRL,2020,1126308917,Europe
Israel,ISR,2020,21065020776,Asia
Italy,ITA,2020,28369663676,Europe
Jamaica,JAM,2020,247043306,N.America
Japan,JPN,2020,48159534537,Asia
Jordan,JOR,2020,2082917903,Asia
Kazakhstan,KAZ,2020,1751553909,Asia
Kenya,KEN,2020,1096954051,Africa
Kosovo,OWID_KOS,2020,76980356,Europe
Kuwait,KWT,2020,6940123899,Asia
Kyrgyzstan,KGZ,2020,130127017,Asia
Latvia,LVA,2020,739205727,Europe
Lebanon,LBN,2020,1036062280,Asia
Lesotho,LSO,2020,41606179,Africa
Liberia,LBR,2020,15136692,Africa
Lithuania,LTU,2020,1135309708,Europe
Luxembourg,LUX,2020,478877123,Europe
Madagascar,MDG,2020,87786311,Africa
Malawi,MWI,2020,85780193,Africa
Malaysia,MYS,2020,3909694459,Asia
Mali,MLI,2020,579852956,Africa
Malta,MLT,2020,78530868,Europe
Mauritania,MRT,2020,199308203,Africa
Mauritius,MUS,2020,19411783,Africa
Mexico,MEX,2020,6606958740,N.America
Moldova,MDA,2020,43135405,Europe
Mongolia,MNG,2020,106986940,Asia
Montenegro,MNE,2020,100344556,Europe
Morocco,MAR,2020,4794028978,Africa
Mozambique,MOZ,2020,166203580,Africa
Myanmar,MMR,2020,3140977788,Asia
Namibia,NAM,2020,416900906,Africa
Nepal,NPL,2020,424735804,Asia
Netherlands,NLD,2020,12210857142,Europe
New Zealand,NZL,2020,3007543064,Oceania
Nicaragua,NIC,2020,78330450,N.America
Niger,NER,2020,225342410,Africa
Nigeria,NGA,2020,2402535698,Africa
North Macedonia,MKD,2020,154092524,Europe
Norway,NOR,2020,7513757523,Europe
Oman,OMN,2020,6662881258,Asia
Pakistan,PAK,2020,10097221387,Asia
Panama,PAN,2020,0,N.America
Papua New Guinea,PNG,2020,87018320,Oceania
Paraguay,PRY,2020,390567833,S.America
Peru,PER,2020,2720219888,S.America
Philippines,PHL,2020,3494961210,Asia
Poland,POL,2020,12815477288,Europe
Portugal,PRT,2020,4556714046,Europe
Qatar,QAT,2020,2165419608,Asia
Romania,ROU,2020,5579061001,Europe
Russia,RUS,2020,66838181926,Europe
Rwanda,RWA,2020,142434353,Africa
Saudi Arabia,SAU,2020,55534555625,Asia
Senegal,SEN,2020,378444130,Africa
Serbia,SRB,2020,1086064873,Europe
Seychelles,SYC,2020,23982238,Africa
Sierra Leone,SLE,2020,20187382,Africa
Singapore,SGP,2020,11019813986,Asia
Slovakia,SVK,2020,1777597366,Europe
Slovenia,SVN,2020,561774724,Europe
South Africa,ZAF,2020,3475201204,Africa
South Korea,KOR,2020,46055696813,Asia
South Sudan,SSD,2020,186498925,Africa
Spain,ESP,2020,17160268854,Europe
Sri Lanka,LKA,2020,1559970001,Asia
Sudan,SDN,2020,456959569,Africa
Sweden,SWE,2020,6233806559,Europe
Switzerland,CHE,2020,5428081383,Europe
Taiwan,TWN,2020,11596968723,Asia
Tajikistan,TJK,2020,80148187,Asia
Tanzania,TZA,2020,639035577,Africa
Thailand,THA,2020,7362140899,Asia
Timor,TLS,2020,38113200,Asia
Togo,TGO,2020,112649816,Africa
Trinidad and Tobago,TTO,2020,157304376,N.America
Tunisia,TUN,2020,1046117830,Africa
Turkey,TUR,2020,19567211572,Asia
Turkmenistan,TKM,1999,122888434,Asia
Uganda,UGA,2020,948138516,Africa
Ukraine,UKR,2020,5995031272,Europe
United Arab Emirates,ARE,2020,25086005424,Asia
United Kingdom,GBR,2020,58484918359,Europe
United States,USA,2020,7.67E+11,N.America
Uruguay,URY,2020,1259942240,S.America
Uzbekistan,UZB,2020,53054103,Asia
Venezuela,VEN,2020,411270,S.America
Vietnam,VNM,2020,5603499209,Asia
Yemen,YEM,2014,2803932812,Asia
Zambia,ZMB,2020,262359868,Africa
Zimbabwe,ZWE,2020,546939000,Africa
